item,model,alpha,mae,rmse,r2,empirical_coverage,nominal_coverage,coverage_gap,mean_width,q_hat,service_level_upper,fill_rate_upper,service_level_point
item_1,ridge,0.1,0.6777957836294727,1.0868621122061597,0.781436270529488,0.9813953488372092,0.9,0.08139534883720922,5.32493244743067,2.6624662237153345,0.9953488372093023,0.9998539063663053,0.5302325581395348
item_1,lightgbm,0.1,0.7354714694958452,1.1479812114781756,0.7561634786733531,0.9813953488372092,0.9,0.08139534883720922,5.402522726242965,2.701261363121482,0.9953488372093023,0.9998372631179877,0.5767441860465117
item_2,ridge,0.1,1.9487182484197367,2.662378077938573,0.5686220124689869,0.958139534883721,0.9,0.05813953488372092,11.912787491356713,5.956393745678355,0.9674418604651163,0.9960367919504844,0.5534883720930233
item_2,lightgbm,0.1,2.0087548193811804,2.6780786319190506,0.5635191730924574,0.9441860465116279,0.9,0.04418604651162783,11.551759232960928,5.775879616480463,0.9720930232558139,0.9978191315807151,0.5348837209302325
item_3,ridge,0.1,2.8714180451296905,3.8604635502672937,0.3374831616494981,0.9302325581395349,0.9,0.03023255813953485,14.542804134178144,7.271402067089074,0.9534883720930233,0.9929449605305144,0.5023255813953489
item_3,lightgbm,0.1,3.0356781064438936,3.9249945349405566,0.3151489580414888,0.9395348837209302,0.9,0.03953488372093017,15.156637842249294,7.5783189211246516,0.958139534883721,0.994968952341682,0.49767441860465117
